un1,un2,un3,un4,un5,un6,line
"0","964526","32496","0","3","-15","116.3878175481829200 39.9924246526983890 -15.0000000000000000, 116.3880329911925600 39.9924284636252880 -15.0000000000000000"
"0","964526","32496","0","3","-15","116.3880329911925600 39.9924284636252880 -15.0000000000000000, 116.3882944124052600 39.9924312617568490 -15.0000000000000000"
"0","964526","32496","0","3","-15","116.3882944124052600 39.9924312617568490 -15.0000000000000000, 116.3884632133696200 39.9924330233934170 -15.0000000000000000"
"0","964526","32496","0","3","-15","116.3884632133696200 39.9924330233934170 -15.0000000000000000, 116.3885977015490700 39.9924355331403660 -15.0000000000000000"
"0","964526","32496","0","3","-15","116.3885977015490700 39.9924355331403660 -15.0000000000000000, 116.3886537090907200 39.9924380416624670 -15.0000000000000000"
"0","964526","32496","0","3","-15","116.3886537090907200 39.9924380416624670 -15.0000000000000000, 116.3888377233975000 39.9924383049642390 -15.0000000000000000"
"0","964526","32496","0","3","-15","116.3888377233975000 39.9924383049642390 -15.0000000000000000, 116.3891231888187400 39.9924421105077950 -15.0000000000000000"
"0","964526","32496","0","3","-15","116.3891231888187400 39.9924421105077950 -15.0000000000000000, 116.3892407827903000 39.9924429343897570 -15.0000000000000000"
"0","964526","32496","0","3","-15","116.3892407827903000 39.9924429343897570 -15.0000000000000000, 116.3893351417479900 39.9924445479290260 -15.0000000000000000"
"0","964526","32496","0","3","-15","116.3893351417479900 39.9924445479290260 -15.0000000000000000, 116.3895814583397800 39.9924473034260830 -15.0000000000000000"
"0","964526","32496","0","3","-15","116.3895814583397800 39.9924473034260830 -15.0000000000000000, 116.3897829736290800 39.9924500559305900 -15.0000000000000000"
"0","964526","32496","0","3","-15","116.3897829736290800 39.9924500559305900 -15.0000000000000000, 116.3900952253082400 39.9924544437133850 -15.0000000000000000"
"0","964526","32496","0","3","-15","116.3900952253082400 39.9924544437133850 -15.0000000000000000, 116.3903159004862600 39.9924554050006830 -15.0000000000000000"
"0","964526","32496","0","3","-15","116.3903159004862600 39.9924554050006830 -15.0000000000000000, 116.3903442874620400 39.9924551557651140 -15.0000000000000000"
"0","964526","32496","0","3","-15","116.3903442874620400 39.9924551557651140 -15.0000000000000000, 116.3904952851197800 39.9924519689538580 -15.0000000000000000"
"0","964526","32496","0","3","-15","116.3904952851197800 39.9924519689538580 -15.0000000000000000, 116.3904980736121100 39.9923684522886450 -15.0000000000000000"
"0","964526","32496","0","3","-15","116.3904980736121100 39.9923684522886450 -15.0000000000000000, 116.3905014721091800 39.9921981625623890 -15.0000000000000000"
"0","964526","32496","0","3","-15","116.3905014721091800 39.9921981625623890 -15.0000000000000000, 116.3905020324006500 39.9921500646466940 -15.0000000000000000"
"0","964526","32496","0","3","-15","116.3905020324006500 39.9921500646466940 -15.0000000000000000, 116.3904938327751900 39.9921497006419460 -15.0000000000000000"
"0","964526","32496","0","3","-15","116.3904938327751900 39.9921497006419460 -15.0000000000000000, 116.3904850912458100 39.9921388710002930 -15.0000000000000000"
"0","964526","32496","0","3","-15","116.3904980736121100 39.9923684522886450 -15.0000000000000000, 116.3906187274612200 39.9923392344964130 -15.0000000000000000"
"0","964526","32496","0","3","-15","116.3906187274612200 39.9923392344964130 -15.0000000000000000, 116.3908617223332000 39.9922747603239090 -15.0000000000000000"
"0","964526","32496","0","3","-15","116.3908617223332000 39.9922747603239090 -15.0000000000000000, 116.3909110890584900 39.9922583221733560 -15.0000000000000000"
"0","964526","32496","0","3","-15","116.3908617223332000 39.9922747603239090 -15.0000000000000000, 116.3908648969450300 39.9922835641443870 -15.0000000000000000"
"0","964526","32496","0","3","-15","116.3908648969450300 39.9922835641443870 -15.0000000000000000, 116.3908789203498200 39.9922867667176900 -15.0000000000000000"
"0","964526","32496","0","3","-15","116.3909110890584900 39.9922583221733560 -15.0000000000000000, 116.3909108771054800 39.9922272852927070 -15.0000000000000000"
"0","964526","32496","0","3","-15","116.3909110890584900 39.9922583221733560 -15.0000000000000000, 116.3910880163541000 39.9921944548205200 -15.0000000000000000"
"0","964526","32496","0","3","-15","116.3910880163541000 39.9921944548205200 -15.0000000000000000, 116.3913317228262800 39.9921122123889820 -15.0000000000000000"
"0","964526","32496","0","3","-15","116.3913317228262800 39.9921122123889820 -15.0000000000000000, 116.3913673114461600 39.9921014873845310 -15.0000000000000000"
"0","964526","32496","0","3","-15","116.3913673114461600 39.9921014873845310 -15.0000000000000000, 116.3913498668933600 39.9920408315788260 -15.0000000000000000"
"0","964526","32496","0","3","-15","116.3913317228262800 39.9921122123889820 -15.0000000000000000, 116.3913267446680800 39.9920999027860300 -15.0000000000000000"
"0","964526","32496","0","3","-15","116.3913267446680800 39.9920999027860300 -15.0000000000000000, 116.3913391230395700 39.9920964143629830 -15.0000000000000000"
"0","964526","32496","0","3","-15","116.3913673114461600 39.9921014873845310 -15.0000000000000000, 116.3915700382630800 39.9920340025635430 -15.0000000000000000"
"0","964526","32496","0","3","-15","116.3915700382630800 39.9920340025635430 -15.0000000000000000, 116.3915580850083400 39.9919999272182030 -15.0000000000000000"
"0","964526","32496","0","3","-15","116.3915700382630800 39.9920340025635430 -15.0000000000000000, 116.3916273647888500 39.9920149462671330 -15.0000000000000000"
"0","964526","32496","0","3","-15","116.3916273647888500 39.9920149462671330 -15.0000000000000000, 116.3916206860621400 39.9919958299244130 -15.0000000000000000"
"0","964526","32496","0","3","-15","116.3916206860621400 39.9919958299244130 -15.0000000000000000, 116.3916013134930000 39.9920029527680260 -15.0000000000000000"
"0","964526","32496","0","3","-15","116.3916273647888500 39.9920149462671330 -15.0000000000000000, 116.3917711975547600 39.9919656116425560 -15.0000000000000000"
